taille_image,nombre_de_point,temps
100,100000,0.36777544021606445
100,1000000,2.25181245803833
100,10000000,19.83166217803955
200,100000,0.46360158920288086
200,1000000,2.5701067447662354
200,10000000,19.948235988616943
300,100000,0.6358802318572998
300,1000000,2.4995524883270264
300,10000000,20.76033854484558
400,100000,0.9794399738311768
400,1000000,2.664252519607544
400,10000000,20.98528552055359
500,100000,1.0636672973632812
500,1000000,2.804234504699707
500,10000000,20.765566110610962
600,100000,1.3406667709350586
600,1000000,3.0004944801330566
600,10000000,21.84426474571228
700,100000,1.5433197021484375
700,1000000,3.2041618824005127
700,10000000,21.970659494400024
800,100000,1.6372966766357422
800,1000000,3.508674383163452
800,10000000,22.932506322860718
900,100000,1.756760835647583
900,1000000,3.9294888973236084
900,10000000,22.42673134803772
1000,100000,2.0348777770996094
1000,1000000,4.167762756347656
1000,10000000,23.192955255508423
